id,origin,status,split,split_group,basic_functionalities,types,parts,composition_level,industry,staff_data_scientist,staff_architect,staff_consultant,staff_software_engineer,estimated_months_to_finish,input_tokens,output_tokens,total_tokens,gpt54_no_cache_usd,client_satisfaction,impact_recognized,roi_satisfaction,future_impact_potential,delivery_quality,pseudo_reward,pseudo_roi_pct
wave2_t008_combo4_sentiment_normal_adaptive_behavior,catalog_designed_simulation,measured_build_passed,train,cd4d2148992d0dc5724c97569fb756130ddeefc7541d4d82a6b275693c25ea5f,Customer insights + Research + Guided onboarding + Personalized discovery,sentiment + normal + adaptive + behavior,sentiment + normal + adaptive + behavior,BT,,0.35,0.175,0.175,0.875,1.25,133874,10863,144737,0.49763,1,3,4,2,3,0.5,-50.0
wave2_t009_single_compare,catalog_designed_simulation,measured_build_passed,train,f9f25d7a558b5d49660cb080b8ea9f890d2fafe283e087f38483616355ee19b8,Smart product search,compare,compare,BT,,0.2,0.1,0.1,0.5,0.5,146100,8667,154767,0.49525499999999995,4,2,4,2,2,0.6,130.76923076923077
wave2_t010_combo2_review_faq,catalog_designed_simulation,measured_build_passed,train,622c17dc7e4804ef65bd6048517d5c7970357ec02ca76d05c679becae2462eb6,Document automation + AI customer support,review + faq,review + faq,BT,,0.25,0.125,0.125,0.625,0.75,118332,6958,125290,0.4002,3,2,1,4,0,0.4,200.0
wave2_t011_combo3_triage_adaptive_web,catalog_designed_simulation,measured_build_passed,train,8ab330a3709d39b7c7c246b427f1da4117e7dae077c4d33983e50e9369af7f67,AI customer support + Guided onboarding + Research,triage + adaptive + web,triage + adaptive + web,BT,,0.3,0.15,0.15,0.75,1.0,134756,10725,145481,0.497765,5,1,3,1,3,0.58,158.33333333333334
wave2_t012_combo4_interests_adaptive_web_review,catalog_designed_simulation,measured_build_passed,train,0c47944bfdced9b8c774cf0907b2b4a1bed114a1fed94552c454884889327765,Personalized discovery + Guided onboarding + Research + Document automation,interests + adaptive + web + review,interests + adaptive + web + review,BT,,0.35,0.175,0.175,0.875,1.25,183716,13616,197332,0.66353,0,2,0,3,2,0.22000000000000003,-16.666666666666668
wave2_t013_single_deep,catalog_designed_simulation,measured_build_passed,train,3bcbdbfeabe66919ef169526ed028d2172dda37348ee1e2e7ea3a45e7727d1b3,Research,deep,deep,BT,,0.2,0.1,0.1,0.5,0.5,151371,9105,160476,0.5150025,5,3,0,5,1,0.58,8.333333333333334
wave2_t014_combo2_behavior_guided,catalog_designed_simulation,measured_build_passed,train,8018e48c5a89cae9a54a344258fdc39764d94c6ff98180a7506ba6d2dc9c2c2a,Personalized discovery + Guided onboarding,behavior + guided,behavior + guided,BT,,0.25,0.125,0.125,0.625,0.75,127220,9059,136279,0.453935,4,3,5,2,1,0.66,500.0
wave2_t015_combo3_feedback_behavior_semantic,catalog_designed_simulation,measured_build_passed,train,ffe7c9cb9b202ccf8f8cd452f58c5ffa7490be2dcb26fbd8349842239b3e5406,Customer insights + Personalized discovery + Smart product search,feedback + behavior + semantic,feedback + behavior + semantic,BT,,0.3,0.15,0.15,0.75,1.0,147234,15118,162352,0.5948549999999999,1,1,0,3,5,0.32,52.94117647058823
wave2_t016_combo4_guided_triage_compare_feedback,catalog_designed_simulation,measured_build_passed,train,cc1b7b4ebc059406ba10b32cd2059bd456d1ba411cd6124bde580b6e4d635bc3,Guided onboarding + AI customer support + Smart product search + Customer insights,guided + triage + compare + feedback,guided + triage + compare + feedback,BT,,0.35,0.175,0.175,0.875,1.25,216262,15021,231283,0.76597,5,2,4,4,4,0.76,-80.0
wave2_t017_single_extract,catalog_designed_simulation,measured_build_passed,test,c2a9fa14e70282f3a9365be8dd6fa818e75b0fe5c34aef60cb06c074738f84d0,Document automation,extract,extract,BT,,0.2,0.1,0.1,0.5,0.5,111677,5595,117272,0.36311750000000004,4,5,0,3,2,0.61,200.0
wave2_t018_combo2_normal_guided,catalog_designed_simulation,measured_build_passed,train,04b90b9a67830a9683a4310d779c89d56d3051985e5db52c82145207d7be4742,Research + Guided onboarding,normal + guided,normal + guided,BT,,0.25,0.125,0.125,0.625,0.75,130894,10128,141022,0.47915500000000005,2,5,4,3,0,0.59,70.0
wave2_t019_combo3_compare_deep_extract,catalog_designed_simulation,measured_build_passed,train,06f9d1398e473f6508025cb41a16ebd64d67f2117c58b705fde3b2fe3a23a196,Smart product search + Research + Document automation,compare + deep + extract,compare + deep + extract,BT,,0.3,0.15,0.15,0.75,1.0,226517,16719,243236,0.8170775,1,2,2,4,1,0.35,0.0
wave2_t020_combo4_extract_faq_journey_deep,catalog_designed_simulation,measured_build_passed,train,9d1d7de1190b5df095676358f9b22e31f7ce742c7aa8c9c1b596ded3de02a435,Document automation + AI customer support + Personalized discovery + Research,extract + faq + journey + deep,extract + faq + journey + deep,BT,,0.35,0.175,0.175,0.875,1.25,204814,16956,221770,0.766375,4,5,2,1,3,0.6799999999999999,233.33333333333334
wave2_t021_single_faq,catalog_designed_simulation,measured_build_passed,train,43ee353474691df1377a140188c922c5bd808df4fff6eb335c4abb90cb841ea1,AI customer support,faq,faq,BT,,0.2,0.1,0.1,0.5,0.5,114581,6411,120992,0.3826175,2,3,3,5,4,0.61,123.07692307692308
wave2_t022_combo2_normal_journey,catalog_designed_simulation,measured_build_passed,train,2cc16dec29358202ad97c3068420abf7db02609673476bc3162fb429e3423f7d,Research + Personalized discovery,normal + journey,normal + journey,BT,,0.25,0.125,0.125,0.625,0.75,128273,9778,138051,0.46735249999999995,3,2,0,3,0,0.34,40.0
wave2_t023_combo3_review_deep_journey,catalog_designed_simulation,measured_build_passed,train,92a5a436e86ebe5ed0444825f50338498678111421da1da78837dd791d1626c5,Document automation + Research + Personalized discovery,review + deep + journey,review + deep + journey,BT,,0.3,0.15,0.15,0.75,1.0,132641,9873,142514,0.4796975,4,3,5,5,1,0.72,106.66666666666667
wave2_t024_combo4_sentiment_normal_journey_faq,catalog_designed_simulation,measured_build_passed,train,93f306ba752a2b370eb82ad18a44ad70121e4a3990d41d1eafc603435da5ce4a,Customer insights + Research + Personalized discovery + AI customer support,sentiment + normal + journey + faq,sentiment + normal + journey + faq,BT,,0.35,0.175,0.175,0.875,1.25,147947,13948,161895,0.5790875,3,0,1,2,5,0.41,142.85714285714286
wave2_t025_single_feedback,catalog_designed_simulation,measured_build_passed,train,8d372d111bab3e58274ee9b86f65e19d0d0206605074fc3365713e894c033ceb,Customer insights,feedback,feedback,BT,,0.2,0.1,0.1,0.5,0.5,116816,7331,124147,0.40200500000000006,3,4,1,0,4,0.54,150.0
wave2_t026_combo2_extract_feedback,catalog_designed_simulation,measured_build_passed,train,ed317f487598f45e0b108bcc1e83eac6ab972a19f6069974b68e19ac6e630edc,Document automation + Customer insights,extract + feedback,extract + feedback,BT,,0.25,0.125,0.125,0.625,0.75,126682,8754,135436,0.44801500000000005,5,3,1,4,0,0.57,11.11111111111111
wave2_t027_combo3_sentiment_behavior_normal,catalog_designed_simulation,measured_build_passed,train,3b1f285ca7cf3b38c66c0b9b5c0b16e7832184f07c4fe0e69a3cbb6d2d8ef454,Customer insights + Personalized discovery + Research,sentiment + behavior + normal,sentiment + behavior + normal,BT,,0.3,0.15,0.15,0.75,1.0,156058,9428,165486,0.531565,0,2,1,3,1,0.23,-60.0
wave2_t028_combo4_semantic_web_review_behavior,catalog_designed_simulation,measured_build_passed,train,be436bc8c2e3717c5370748fb506d41b4daa208315a8ae6bd69364df288561ce,Smart product search + Research + Document automation + Personalized discovery,semantic + web + review + behavior,semantic + web + review + behavior,BT,,0.35,0.175,0.175,0.875,1.25,136717,10964,147681,0.5062525,5,3,0,4,3,0.62,300.0
wave2_t029_single_guided,catalog_designed_simulation,measured_build_passed,train,b8584edfd6156d9f5889ba6ca821b0e860874a17ae3c1024b5f4cf50a44c0737,Guided onboarding,guided,guided,BT,,0.2,0.1,0.1,0.5,0.5,112410,5796,118206,0.36796500000000004,3,5,5,0,5,0.78,0.0
wave2_t030_combo2_web_review,catalog_designed_simulation,measured_build_passed,train,1e71ef5275166a393ab99812f51fa85ab3f36a6c9cad85ea2eab2ed83d7860df,Research + Document automation,web + review,web + review,BT,,0.25,0.125,0.125,0.625,0.75,130078,9195,139273,0.46312,5,3,0,3,5,0.66,383.3333333333333
wave2_t031_combo3_guided_faq_web,catalog_designed_simulation,measured_build_passed,train,c9e32b44b542e2fa2087219bf735797629974647cd7bc637f708197d73db8b94,Guided onboarding + AI customer support + Research,guided + faq + web,guided + faq + web,BT,,0.3,0.15,0.15,0.75,1.0,131820,10368,142188,0.48506999999999995,2,2,4,3,2,0.5,133.33333333333334
wave2_t032_combo4_compare_extract_adaptive_deep,catalog_designed_simulation,measured_build_passed,train,3c06b0a9dacc542f62ad159aa7d106c334cda54f3e2e25325815e782080d8124,Smart product search + Document automation + Guided onboarding + Research,compare + extract + adaptive + deep,compare + extract + adaptive + deep,BT,,0.35,0.175,0.175,0.875,1.25,154622,17707,172329,0.65216,5,5,5,0,4,0.87,383.3333333333333
wave2_t033_single_interests,catalog_designed_simulation,measured_build_passed,train,94fcdb07322666da997f553e417458975b688c194db0cf4394b23e81660c90d5,Personalized discovery,interests,interests,BT,,0.2,0.1,0.1,0.5,0.5,114172,6844,121016,0.38809,2,0,4,0,5,0.43,333.3333333333333
wave2_t034_combo2_sentiment_interests,catalog_designed_simulation,measured_build_passed,train,4abd15321d288cb187f54daa1ea64a659861d89a9da3d4fb5e2b2b3e89fa7ed1,Customer insights + Personalized discovery,sentiment + interests,sentiment + interests,BT,,0.25,0.125,0.125,0.625,0.75,124955,8215,133170,0.43561249999999996,0,4,4,4,3,0.53,90.9090909090909
wave2_t035_combo3_adaptive_triage_interests,catalog_designed_simulation,measured_build_passed,train,bafab0c68f8ffea64aadd5a3f2500ae10b97fec17c965545349d0702ef4ccf8c,Guided onboarding + AI customer support + Personalized discovery,adaptive + triage + interests,adaptive + triage + interests,BT,,0.3,0.15,0.15,0.75,1.0,128496,9106,137602,0.45782999999999996,0,5,1,3,3,0.44,766.6666666666666
wave2_t036_combo4_guided_web_triage_interests,catalog_designed_simulation,measured_build_passed,train,6fb0673f1776007f4182721c9d97a0c2c90a1824c9e388937bb7c6197fdf60f8,Guided onboarding + Research + AI customer support + Personalized discovery,guided + web + triage + interests,guided + web + triage + interests,BT,,0.35,0.175,0.175,0.875,1.25,161711,12130,173841,0.5862275,2,3,0,4,2,0.41,50.0
wave2_t037_single_journey,catalog_designed_simulation,measured_build_passed,train,aadb5d94f4cb1e6a0941c9f5064beb86cc0abdfc680e07998641d27115c795b7,Personalized discovery,journey,journey,BT,,0.2,0.1,0.1,0.5,0.5,114993,6311,121304,0.38214750000000003,3,2,5,1,3,0.59,275.0
wave2_t038_combo2_faq_semantic,catalog_designed_simulation,measured_build_passed,train,08636aece471b256814c16d45f3fc51278a51287365f83f050fe524c50a7619e,AI customer support + Smart product search,faq + semantic,faq + semantic,BT,,0.25,0.125,0.125,0.625,0.75,125826,9070,134896,0.450615,3,1,0,5,5,0.48,233.33333333333334
wave2_t039_combo3_normal_compare_feedback,catalog_designed_simulation,measured_build_passed,train,962d1d92edf900a58f36ce1d4c71bb335aa1756bbc5cb7a805fca7519b4a25f5,Research + Smart product search + Customer insights,normal + compare + feedback,normal + compare + feedback,BT,,0.3,0.15,0.15,0.75,1.0,201182,13602,214784,0.706985,4,5,4,0,3,0.74,-47.05882352941177
wave2_t040_combo4_feedback_faq_guided_normal,catalog_designed_simulation,measured_build_passed,train,403ec0a406925313c4f7f9f1a8340b74ae66e7ca9e6a9849b5249cf9976bc4f0,Customer insights + AI customer support + Guided onboarding + Research,feedback + faq + guided + normal,feedback + faq + guided + normal,BT,,0.35,0.175,0.175,0.875,1.25,196301,12185,208486,0.6735275,4,3,3,5,4,0.73,285.7142857142857
wave2_t041_single_normal,catalog_designed_simulation,measured_build_passed,train,794e0d6f28eea81700713b48bbe5cae57ea0a0be1f6da57811f457ad1bd86876,Research,normal,normal,BT,,0.2,0.1,0.1,0.5,0.5,109887,5015,114902,0.34994250000000005,2,1,2,2,4,0.41,-47.05882352941177
wave2_t042_combo2_behavior_adaptive,catalog_designed_simulation,measured_build_passed,train,265f9f139bdf9cea1d61d76b90d7cdf2af4761539e55f58938af576360bfc4a2,Personalized discovery + Guided onboarding,behavior + adaptive,behavior + adaptive,BT,,0.25,0.125,0.125,0.625,0.75,121637,7878,129515,0.42226250000000004,3,1,2,4,5,0.54,106.66666666666667
wave2_t043_combo3_adaptive_semantic_interests,catalog_designed_simulation,measured_build_passed,train,4bc0bc33e59173c6366a8e871e1156f43fb99185729560adf935953f2ae0a897,Guided onboarding + Smart product search + Personalized discovery,adaptive + semantic + interests,adaptive + semantic + interests,BT,,0.3,0.15,0.15,0.75,1.0,134285,11557,145842,0.5090675,4,2,3,1,2,0.54,-50.0
wave2_t044_combo4_behavior_review_normal_semantic,catalog_designed_simulation,measured_build_passed,train,dc3cf2fd1a055fcc100f6582f4442a96207af7bfea4749904ce247c254ea5944,Personalized discovery + Document automation + Research + Smart product search,behavior + review + normal + semantic,behavior + review + normal + semantic,BT,,0.35,0.175,0.175,0.875,1.25,145446,13019,158465,0.5589,5,5,4,4,2,0.85,225.0
wave2_t045_single_review,catalog_designed_simulation,measured_build_passed,train,a96884a032c81cf1c81370de64f329159a5f5b2eaaccc5ae0df3ea1bec5d1cca,Document automation,review,review,BT,,0.2,0.1,0.1,0.5,0.5,114819,5954,120773,0.37635749999999996,3,1,3,2,0,0.39,121.42857142857143
wave2_t046_combo2_compare_triage,catalog_designed_simulation,measured_build_passed,train,817a8192180a4bba765d1545d30caff7811f82487ce01af5105d2138de77de75,Smart product search + AI customer support,compare + triage,compare + triage,BT,,0.25,0.125,0.125,0.625,0.75,148528,9236,157764,0.50986,3,2,5,5,5,0.73,-73.33333333333333
wave2_t047_combo3_extract_behavior_faq,catalog_designed_simulation,measured_build_passed,train,64c2bad7a9d4fe9de735b9beb28c0a049330a552f2858bdc9f44638ae90f2450,Document automation + Personalized discovery + AI customer support,extract + behavior + faq,extract + behavior + faq,BT,,0.3,0.15,0.15,0.75,1.0,153269,11380,164649,0.5538725,4,5,3,5,2,0.77,-80.0
wave2_t048_combo4_interests_compare_adaptive_feedback,catalog_designed_simulation,measured_build_passed,train,02d043f19f5e95fe7fce7038e60551a7406ad908130700a197fa3b8ab3f640df,Personalized discovery + Smart product search + Guided onboarding + Customer insights,interests + compare + adaptive + feedback,interests + compare + adaptive + feedback,BT,,0.35,0.175,0.175,0.875,1.25,164539,12725,177264,0.6022225,3,5,4,2,1,0.66,280.0
wave2_t049_single_semantic,catalog_designed_simulation,measured_build_passed,train,9e9e81cc52f490feb3a37a5937c72ead75f682a895f7ba2218431f4f2b1b4927,Smart product search,semantic,semantic,BT,,0.2,0.1,0.1,0.5,0.5,115514,6536,122050,0.38682500000000003,5,1,4,5,3,0.7,342.85714285714283
wave2_t050_combo2_deep_journey,catalog_designed_simulation,measured_build_passed,train,8218dea483c9dfc871b9e42a500997f487f6ef2ee0786d5e8346e198be3c6d44,Research + Personalized discovery,deep + journey,deep + journey,BT,,0.25,0.125,0.125,0.625,0.75,126415,8751,135166,0.4473025,3,2,3,1,5,0.5700000000000001,125.0
wave2_t051_combo3_compare_feedback_guided,catalog_designed_simulation,measured_build_passed,train,f59db4513c555ca3daa317531e3c82dd4c444304cc70b4ad3a5594f02ae7a824,Smart product search + Customer insights + Guided onboarding,compare + feedback + guided,compare + feedback + guided,BT,,0.3,0.15,0.15,0.75,1.0,127892,9138,137030,0.4568,2,2,1,5,0,0.36,120.0
wave2_t052_combo4_sentiment_deep_journey_extract,catalog_designed_simulation,measured_build_passed,train,4095ccf08704ffed54bbbcdefef94755125b069eb07d83868c5d15cb21aa57ad,Customer insights + Research + Personalized discovery + Document automation,sentiment + deep + journey + extract,sentiment + deep + journey + extract,BT,,0.35,0.175,0.175,0.875,1.25,206363,13349,219712,0.7161424999999999,5,5,4,3,2,0.83,22.22222222222222
wave2_t053_single_sentiment,catalog_designed_simulation,measured_build_passed,train,f79ba67cb9b1aea28c16e543097153c76126e892d90dfdddf40bf8ff4509e034,Customer insights,sentiment,sentiment,BT,,0.2,0.1,0.1,0.5,0.5,121497,7151,128648,0.41100749999999997,0,2,5,4,0,0.38,0.0
wave2_t054_combo2_interests_extract,catalog_designed_simulation,measured_build_passed,train,aa623b228fa24982439b682791475b5409d8418e8a5e798e93850c623ba31a36,Personalized discovery + Document automation,interests + extract,interests + extract,BT,,0.25,0.125,0.125,0.625,0.75,117679,6787,124466,0.3960025,4,5,1,3,5,0.74,5.555555555555555
wave2_t055_combo3_semantic_sentiment_review,catalog_designed_simulation,measured_build_passed,train,45e065512fd9e82427758f96ddbe5f5372bebd74aad223029fa8aa85458de5f1,Smart product search + Customer insights + Document automation,semantic + sentiment + review,semantic + sentiment + review,BT,,0.3,0.15,0.15,0.75,1.0,202232,18297,220529,0.780035,5,1,1,5,2,0.55,6.25
